- , Model T, Stanley Steamer, accelerator, air bag, airplane, airship, ambulance, auto accessory, automobile, automobile engine, automobile horn, baggage car, beach wagon, buffer, building, bumper, bus, cab, cabin car, cable car, cable railway, car, car door, car mirror, car seat, car window, carriage, club car, cockpit, compact, compartment, convertible, coupe, covering, cruiser, device, electric, elevator, fender, first gear, floorboard, framework, freight car, fuel system, gas guzzler, gasoline engine, gear, glove compartment, grille, guard's van, handcar, hardtop, hatchback, high gear, hood, horseless carriage, hot rod, internal-combustion engine, jeep, limousine, loaner, locomotive, luggage compartment, mail car, minicab, minicar, minivan, motor vehicle, opening, pace car, passenger car, passenger van, pedal, protective covering, racer, rear window, reverse, roadster, roof, running board, sedan, self-propelled vehicle, slip coach, sport utility, sports car, stabilizer, stabilizer bar, stock car, subcompact, sunroof, suspension, tail fin, tender, third gear, touring car, truck, used-car, van, wheeled vehicle, window
automobile horn, 1.006269, 1.175629, 1.192374, 1.192374, 1.746556, 1.108363, 1.006269, 1.192374, 0.723542, 1.192374, 0.000000, 1.006269, 1.006269, 1.192374, 1.577196, 1.192374, 1.006269, 1.006269, 1.006269, 1.569664, 1.108363, 0.554182, 1.192374, 1.192374, 1.192374, 1.192374, 1.569664, 1.235725, 1.569664, 1.006269, 1.117576, 1.006269, 1.006269, 1.755768, 1.006269, 1.755768, 1.006269, 1.108363, 1.192374, 1.192374, 1.192374, 1.586408, 1.235725, 1.586408, 1.006269, 1.192374, 1.755768, 1.192374, 1.192374, 1.006269, 1.006269, 1.006269, 1.006269, 1.192374, 1.192374, 1.006269, 1.006269, 1.586408, 1.006269, 1.006269, 1.006269, 1.746556, 1.192374, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 1.586408, 1.006269, 1.006269, 1.458357, 1.586408, 1.755768, 1.175629, 1.192374, 1.192374, 1.175629, 1.192374, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.192374, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 1.569664, 1.175629, 1.006269, 1.117576, 1.023014
baggage car, 1.199127, 1.428582, 1.416452, 1.416452, 1.970634, 1.301221, 1.199127, 1.416452, 1.939413, 1.416452, 1.416452, 0.000000, 1.199127, 1.416452, 1.770053, 1.416452, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.416452, 1.416452, 1.416452, 1.416452, 1.762521, 1.428582, 1.762521, 1.199127, 1.310433, 1.199127, 1.199127, 1.979847, 1.199127, 1.979847, 1.199127, 1.301221, 1.416452, 1.416452, 1.416452, 1.779266, 1.428582, 1.779266, 1.199127, 1.416452, 1.979847, 1.416452, 1.416452, 1.199127, 1.199127, 1.199127, 1.199127, 1.416452, 1.416452, 1.199127, 1.199127, 1.779266, 1.199127, 1.199127, 1.199127, 1.970634, 1.416452, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.979847, 1.428582, 1.416452, 1.416452, 1.428582, 1.416452, 1.416452, 1.428582, 1.762521, 1.199127, 1.428582, 1.428582, 1.979847, 1.416452, 1.428582, 1.428582, 1.416452, 1.215871, 1.416452, 1.199127, 1.416452, 1.428582, 1.762521, 1.428582, 1.199127, 1.310433, 1.215871
beach wagon, 1.199127, 1.199127, 1.215871, 1.215871, 1.770053, 1.301221, 1.199127, 1.215871, 0.747039, 1.215871, 1.215871, 1.199127, 0.000000, 1.215871, 1.770053, 1.215871, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.215871, 1.215871, 1.215871, 1.215871, 1.762521, 1.428582, 1.667959, 1.199127, 1.310433, 1.199127, 1.199127, 1.779266, 1.199127, 1.779266, 1.199127, 1.301221, 1.215871, 1.215871, 1.215871, 1.779266, 1.428582, 1.770053, 1.199127, 1.215871, 1.779266, 1.215871, 1.215871, 1.199127, 1.199127, 1.199127, 1.199127, 1.215871, 1.215871, 1.199127, 1.199127, 1.779266, 1.199127, 1.199127, 1.199127, 1.770053, 1.215871, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.779266, 1.199127, 1.215871, 1.215871, 1.199127, 1.215871, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.199127, 1.779266, 1.215871, 1.199127, 1.199127, 1.215871, 1.215871, 1.215871, 1.199127, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.310433, 1.215871
buffer, 1.006269, 1.175629, 1.192374, 1.192374, 1.746556, 1.108363, 1.006269, 1.192374, 0.723542, 1.192374, 1.192374, 1.006269, 1.006269, 0.000000, 1.577196, 1.192374, 1.006269, 1.006269, 1.006269, 1.569664, 1.108363, 0.554182, 1.192374, 1.192374, 1.192374, 1.192374, 1.569664, 1.235725, 1.569664, 1.006269, 1.117576, 1.006269, 1.006269, 1.755768, 1.006269, 0.563394, 1.006269, 1.108363, 1.192374, 1.192374, 1.192374, 0.563394, 1.235725, 1.586408, 1.006269, 1.192374, 1.755768, 1.192374, 1.192374, 1.006269, 1.006269, 1.006269, 1.006269, 1.192374, 1.192374, 1.006269, 1.006269, 1.586408, 1.006269, 1.006269, 1.006269, 0.554182, 1.192374, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 1.586408, 1.006269, 1.006269, 1.458357, 1.586408, 1.755768, 1.175629, 1.192374, 1.192374, 1.175629, 1.192374, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.192374, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 1.569664, 1.175629, 1.006269, 1.117576, 1.023014
building, 1.675682, 1.845042, 1.861787, 1.861787, 1.905138, 1.777776, 1.675682, 1.861787, 1.392955, 1.861787, 1.861787, 1.675682, 1.675682, 1.861787, 0.000000, 1.861787, 1.223595, 1.675682, 1.675682, 2.239077, 1.777776, 1.223595, 1.861787, 1.861787, 1.861787, 1.350956, 2.239077, 1.905138, 2.239077, 1.675682, 1.786989, 1.675682, 1.675682, 1.232807, 1.675682, 2.425182, 1.675682, 0.669413, 1.861787, 1.861787, 1.861787, 1.232807, 1.905138, 2.255822, 1.675682, 1.861787, 2.425182, 1.861787, 1.861787, 1.675682, 1.675682, 1.675682, 1.675682, 1.861787, 1.350956, 1.675682, 1.675682, 2.255822, 1.675682, 1.675682, 1.675682, 2.415969, 1.861787, 1.675682, 2.127770, 1.675682, 1.675682, 1.786989, 1.232807, 1.675682, 1.675682, 2.127770, 2.255822, 1.232807, 1.845042, 1.861787, 1.861787, 1.845042, 0.669413, 1.861787, 1.845042, 2.239077, 1.675682, 1.845042, 1.845042, 2.425182, 1.861787, 1.845042, 1.845042, 1.121501, 1.692427, 1.861787, 1.675682, 1.861787, 1.845042, 1.223595, 1.845042, 1.675682, 1.786989, 0.669413
bumper, 1.006269, 1.175629, 1.192374, 1.192374, 1.746556, 1.108363, 1.006269, 1.192374, 0.723542, 1.192374, 1.192374, 1.006269, 1.006269, 1.192374, 1.577196, 0.000000, 1.006269, 1.006269, 1.006269, 1.569664, 1.108363, 0.554182, 1.192374, 1.192374, 1.192374, 1.192374, 1.569664, 1.235725, 1.569664, 1.006269, 1.117576, 1.006269, 1.006269, 1.755768, 1.006269, 1.755768, 1.006269, 1.108363, 1.192374, 1.192374, 1.192374, 1.586408, 1.235725, 1.586408, 1.006269, 1.192374, 1.755768, 1.192374, 1.192374, 1.006269, 1.006269, 1.006269, 1.006269, 1.192374, 1.192374, 1.006269, 1.006269, 1.586408, 1.006269, 1.006269, 1.006269, 1.746556, 1.192374, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 1.586408, 1.006269, 1.006269, 1.458357, 1.586408, 1.755768, 1.175629, 1.192374, 1.192374, 1.175629, 1.192374, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.192374, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 0.554182, 1.175629, 1.006269, 1.117576, 1.023014
bus, 1.199127, 1.199127, 1.215871, 1.215871, 1.770053, 1.301221, 1.199127, 1.215871, 0.747039, 1.215871, 1.215871, 1.199127, 1.199127, 1.215871, 1.223595, 1.215871, 0.000000, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.215871, 1.215871, 1.215871, 1.215871, 1.762521, 1.428582, 1.667959, 1.199127, 1.310433, 1.199127, 1.199127, 1.232807, 1.199127, 1.779266, 1.199127, 1.301221, 1.215871, 1.215871, 1.215871, 1.232807, 1.428582, 1.770053, 1.199127, 1.215871, 1.779266, 1.215871, 1.215871, 1.199127, 1.199127, 1.199127, 1.199127, 1.215871, 1.215871, 1.199127, 1.199127, 1.779266, 1.199127, 1.199127, 1.199127, 1.770053, 1.215871, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.232807, 1.199127, 1.199127, 1.651214, 1.779266, 1.232807, 1.199127, 1.215871, 1.215871, 1.199127, 0.669413, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.199127, 1.779266, 1.215871, 1.199127, 1.199127, 1.121501, 1.215871, 1.215871, 1.199127, 1.215871, 1.199127, 1.223595, 1.199127, 1.199127, 1.310433, 0.669413
cab, 1.199127, 1.199127, 1.215871, 1.215871, 1.770053, 1.301221, 1.199127, 1.215871, 0.747039, 1.215871, 1.215871, 1.199127, 1.199127, 1.215871, 1.770053, 1.215871, 1.199127, 0.000000, 1.199127, 1.015482, 1.301221, 0.747039, 1.215871, 1.215871, 1.215871, 1.215871, 0.563394, 1.428582, 1.015482, 1.199127, 0.563394, 1.199127, 1.199127, 1.779266, 1.199127, 1.779266, 1.199127, 1.301221, 1.215871, 1.215871, 1.215871, 1.779266, 1.428582, 1.023014, 1.199127, 1.215871, 1.779266, 1.215871, 1.215871, 1.199127, 1.199127, 1.199127, 1.199127, 1.215871, 1.215871, 1.199127, 1.199127, 1.023014, 1.199127, 1.199127, 1.199127, 1.770053, 1.215871, 1.199127, 0.452088, 1.199127, 1.199127, 0.554182, 1.779266, 1.199127, 1.199127, 1.651214, 1.023014, 1.779266, 1.199127, 1.215871, 1.215871, 1.199127, 1.215871, 1.215871, 1.199127, 1.117576, 1.199127, 1.199127, 1.199127, 1.779266, 1.215871, 1.199127, 1.199127, 1.215871, 1.215871, 1.215871, 1.199127, 1.215871, 1.199127, 1.006269, 1.199127, 1.199127, 1.310433, 1.215871
cabin car, 1.199127, 1.428582, 1.416452, 1.416452, 1.970634, 1.301221, 1.199127, 1.416452, 1.939413, 1.416452, 1.416452, 1.199127, 1.199127, 1.416452, 1.770053, 1.416452, 1.199127, 1.199127, 0.000000, 1.762521, 1.301221, 0.747039, 1.416452, 1.416452, 1.416452, 1.416452, 1.762521, 1.428582, 1.762521, 1.199127, 1.310433, 1.199127, 1.199127, 1.979847, 1.199127, 1.979847, 1.199127, 1.301221, 1.416452, 1.416452, 1.416452, 1.779266, 1.428582, 1.779266, 1.199127, 1.416452, 1.979847, 1.416452, 1.416452, 1.199127, 1.199127, 1.199127, 1.199127, 1.416452, 1.416452, 1.199127, 1.199127, 1.779266, 1.199127, 1.199127, 1.199127, 1.970634, 1.416452, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.979847, 1.428582, 1.416452, 1.416452, 1.428582, 1.416452, 1.416452, 1.428582, 1.762521, 1.199127, 1.428582, 1.428582, 1.979847, 1.416452, 1.428582, 1.428582, 1.416452, 1.215871, 1.416452, 1.199127, 1.416452, 1.428582, 1.762521, 1.428582, 1.199127, 1.310433, 1.215871
cable car, 1.845042, 2.074498, 2.062368, 2.062368, 2.616550, 1.947137, 1.845042, 2.062368, 2.152124, 2.062368, 2.062368, 1.845042, 1.845042, 2.062368, 2.415969, 2.062368, 1.845042, 1.428582, 1.845042, 0.000000, 0.723542, 1.392955, 2.062368, 2.062368, 2.062368, 2.062368, 1.991977, 2.074498, 1.199127, 1.845042, 0.747039, 1.845042, 1.845042, 2.625762, 1.845042, 2.625762, 1.845042, 1.947137, 2.062368, 2.062368, 2.062368, 2.425182, 2.074498, 2.425182, 1.845042, 2.062368, 2.625762, 1.428582, 2.062368, 1.845042, 1.845042, 1.845042, 1.845042, 2.062368, 2.062368, 1.845042, 1.845042, 2.425182, 1.845042, 1.845042, 1.845042, 2.616550, 1.428582, 1.845042, 1.880670, 1.845042, 1.845042, 1.956349, 2.425182, 1.845042, 1.845042, 2.297130, 2.425182, 2.625762, 1.922668, 2.062368, 2.062368, 2.074498, 2.062368, 2.062368, 2.074498, 2.408437, 1.845042, 2.074498, 2.074498, 2.625762, 2.062368, 2.074498, 2.074498, 2.062368, 1.861787, 2.062368, 1.845042, 2.062368, 2.074498, 2.408437, 2.074498, 1.845042, 1.956349, 1.861787
cable railway, 1.121501, 1.350956, 1.338826, 1.338826, 1.893008, 1.223595, 1.121501, 1.338826, 1.861787, 1.338826, 1.338826, 1.121501, 1.121501, 1.338826, 1.692427, 1.338826, 1.121501, 1.121501, 1.121501, 0.468832, 0.000000, 0.669413, 1.338826, 1.338826, 1.338826, 1.338826, 1.684895, 1.350956, 1.667959, 1.121501, 1.215871, 1.121501, 1.121501, 1.902221, 1.121501, 1.902221, 1.121501, 1.223595, 1.338826, 1.338826, 1.338826, 1.701640, 1.350956, 1.701640, 1.121501, 1.338826, 1.902221, 1.338826, 1.338826, 1.121501, 1.121501, 1.121501, 1.121501, 1.338826, 1.338826, 1.121501, 1.121501, 1.701640, 1.121501, 1.121501, 1.121501, 1.893008, 1.338826, 1.121501, 1.573588, 1.121501, 1.121501, 1.232807, 1.701640, 1.121501, 1.121501, 1.573588, 1.701640, 1.902221, 1.350956, 1.338826, 1.338826, 1.350956, 1.338826, 1.338826, 1.350956, 1.684895, 1.121501, 1.350956, 1.350956, 1.902221, 1.338826, 1.350956, 1.350956, 1.338826, 1.138245, 1.338826, 1.121501, 1.338826, 1.350956, 1.684895, 1.350956, 1.121501, 1.232807, 1.138245
